["-all", "14462/3581=4.04"]
["-level一年级", "790/219=3.61"]
["-level七年级", "965/253=3.81"]
["-level三年级", "1536/340=4.52"]
["-level九年级", "918/252=3.64"]
["-level二年级", "1634/351=4.66"]
["-level五年级", "1515/382=3.97"]
["-level八年级", "810/211=3.84"]
["-level六年级", "1579/352=4.49"]
["-level四年级", "1473/397=3.71"]
["-level高一", "1183/296=4.0"]
["-level高三", "838/217=3.86"]
["-level高二", "1221/311=3.93"]
["代数", "1556/366=4.25"]
["变换几何", "136/42=3.24"]
["图论", "45/17=2.65"]
["度量几何学", "1664/445=3.74"]
["画法几何学", "287/88=3.26"]
["立体几何学", "1148/332=3.46"]
["算术", "6261/1385=4.52"]
["组合几何学", "246/88=2.8"]
["组合数学", "503/140=3.59"]
["统计数学", "49/7=7.0"]
["解析几何", "1411/362=3.9"]
["计数", "872/245=3.56"]
["逻辑题", "284/64=4.44"]
